Part Number,Description,Link,Qty
277-1578-ND,TERM BLK 3POS SIDE ENTRY 5MM PCB,https://www.digikey.ca/en/products/detail/phoenix-contact/1935174/568615?s=N4IgTCBcDa4OxwLQEYCscAciByAREAugL5A,2
277-1580-ND,TERM BLK 5POS SIDE ENTRY 5MM PCB,https://www.digikey.ca/en/products/detail/phoenix-contact/1935190/568617?s=N4IgTCBcDa4OxwLQEYCsAOADIgcgERAF0BfIA,1
805.415.65,Mounting Platform,https://www.ikea.com/ca/en/p/vattenkar-laptop-monitor-stand-birch-80541565/,1
B01EV6LJ7G,Breadboard,https://www.amazon.ca/Breadboard-Solderless-Prototype-Distribution-Connecting/dp/B01EV6LJ7G/ref=sr_1_5?crid=2M2B1SPT9CST3&dib=eyJ2IjoiMSJ9.x1RtHO-Ps7kZi3pQXJMAjg2nO-0iFIStS0DTQ-ljnuwBZZ4qaibh30wa5a4Q2Ms1WYlhQ-miaZ3ikKmou5se5iwUMM6ls4Z1WJ3hQdmOds0SQ5TaoH7rVo-DkU2jnM1TSM-9AsBktImxqM2UV2uQZM47xp7_jDgWJPv-5nPHtcVwHihgXngy6sP2wnG9-dwKsdqm30grXx4oCPIc_5aMjTUCqTatD1mHBHdeceTaZ0TBe00Ie8cM4w2EY8NIcNH-XTApvSfOPr4FmEZYDeSaEMk6VbTKMuNWnYmU87v_TGQ.-GMZ3PgY4yqUpUKoxyFiD4EY78ms_K43sqE2crzW7I0&dib_tag=se&keywords=breadboard&qid=1762802318&sprefix=breadboar%2Caps%2C161&sr=8-5&th=1,1
B01EV70C78,Jumper Wire Kit,https://www.amazon.ca/Elegoo-120pcs-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_6?crid=K8S0XIERIEVH&dib=eyJ2IjoiMSJ9.G-JSupPu9I4kaxRRYUv1p2ibVyB-B5qdW2mxqlSCncCVjuFya5TKXyQGSLjke4N4DpQre6gZE0ANtBIC7ydTaW6PuuWwzy27k9G8zsiTTbGmItYO1zfGuN_pJFqSZB4iH8aulpoCDNmAEKQYk7PT-sFj6ZKqWY5Pm6ZP7IMwE5xq8TEzcwI0-XsHQSfBhQr0iL81jq2CuiyRZ5dOs5XGVpbzKbUiU1MRyfPT5I5Tzi0CczlUGzTyeOFc5T6NfKYw6xL1Gl8pSiURjNci7xAtnX4TbuZlufrdo0saYI9aFvM.gm6jsXFtobooDXu_X0pXQU6Mqj1bl6d3Il09Vm3AR5g&dib_tag=se&keywords=jumper+wire+kit&qid=1762800951&sprefix=jumper+wire+kit%2Caps%2C125&sr=8-6,1
B07179VF5J,Banana to Banana Connectors,https://www.amazon.ca/Sumnacon-Stackable-Silicone-Multimeter-Electrical/dp/B07179VF5J/ref=sr_1_5_mod_primary_new?crid=2S8T6CKCL4SGK&dib=eyJ2IjoiMSJ9.h_Vk8peotAmdERtGFcLQvnVT40XUe_dm0UDAd2w7VttC0qjmfsFWaBkWeYmyjZKourcv7dng-2VDyypRSiA5PwnZb3TO_Hz93GdO3Rla-2PdBEARDwI8IUkJff8PdCrtIfx2w-13UsCVV3OHmKVBcnXIPukh4JX3WC2kLxRFOkghuQHNIz7HImeBef1YnU5MgqEE6sB-mwetFxmHyyTSeHjGgyB8VdBp3UxsH32XG6Ls9CmPycZjgoNrMFbv5RUhb92J_DGk9v1kJ3c8cLbsWUcSA2TahfFFnxjOwO5z9T0.KseV6KGKSC05Pf_j2n-2oqZYFx32ZO-a6kwigsoiFbI&dib_tag=se&keywords=banana%2Bto%2Bbanana&qid=1762801777&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=banana%2Bto%2Bbanana%2Caps%2C116&sr=8-5&th=1,1
B071SL6PQS,Banana to Alligator Connectors,https://www.amazon.ca/Sumnacon-Multimeter-Crocodile-Alligator-Stackable/dp/B071SL6PQS/ref=sr_1_5?crid=3GJVPXZRG2YUW&dib=eyJ2IjoiMSJ9.G4PYZZzl6JKPLgR-V6KZudNs69zj1sHZDo-7lEa2DFkAVX6ViJrpZw9A_3L5DvSclhZCwRje7CSEWWCT9OcOt-5k9IrWpLxF2Ner83uSbu2bFxOs9_iDht6KoPVJNXOmTGTKFiBxA-JLeviIoTPvNDefxfDPqUmhXqhc78pzVXVAxzdz51PTxbgRsuWlQuzQyyCIHTfC0Jsvu8fFHwUKHdjl32KWuym8jG6E3sV38ViKp0f7dBlfRyadDQ4WMUZVEU-DcWfkPMf9J1yfMD_8CKgdS44-glICTBbD0X18jTQ.TpM-netaLaSxm7N2Cp7VNJXEt19arSQc_DVQcMu1SUQ&dib_tag=se&keywords=banana%2Bto%2Balligator&qid=1762801718&sprefix=banana%2Bto%2Balligato%2Caps%2C119&sr=8-5&th=1,1
B07FMV5RMG,Brass Standoff Kit,https://www.amazon.ca/XLX-Male-Female-Female-Female-Assortment-Stainless/dp/B07FMV5RMG/ref=sr_1_5?crid=1BQF6X8MEAYVN&dib=eyJ2IjoiMSJ9.lJaFS8voAelF4_Q-_ng0Nh2bmdjgNdkqnDfxL5-L9dzQ7cKIo_CfBAGKt_NARVzTqwrmS1Bq-RAI0gos-osX11DV5o1mrhmZ32NcvRX31CCo6Lmhkp_UGFuhtlIOFSnPr9enqkASnMsp2IERK7_IzCuhEtR78c8dy5qe1McGKkgcmEmR6LVcr10Bmi1juaAhPNpsIjW4_14-oZCjPYslc6PkySe6rFGGuz6OPHs6FkZPsefGaWPYmcbiYtPxTYYtb7NcesRRBMcrIgXodXPZVuhhTOuSkFN9RqZS247YUbo.mIRbd1xIG8QmmGsswPzJVG8frqfESumEL1Df3oiOAzo&dib_tag=se&keywords=brass+standoff&qid=1762800812&sprefix=brass+standoff%2Caps%2C125&sr=8-5,1
B07FW3GTXB,Cable Sleeve,https://www.amazon.ca/Alex-Tech-10ft-Protector-Sleeving/dp/B07FW3GTXB/ref=sr_1_5?crid=O4Z9VNY6NHZJ&dib=eyJ2IjoiMSJ9.kWrbUkyL1W73-8zgO5AA7npNA0HtgJlBbVU7dPJVSTgSHUAvg6FHaGdS4y1leOqYJsPnUrPBHsLTz3wkoVjjPLP3C6gOqWzzCXwjIOS4nGTtcX81n442ZPnjOFiERliVOSnrUiBxt3SC7epfgh4cQepE_3d3hJdrYA74XNK43pCeHyil5A9uu3NFLA0OkAss9hvhmR9ZL2g9KJOgk72DoDO-rzlY9D6Huf-e2V6wGXuhbfPECiOBUyGq2-g_t3zfVP4LU5g_NZkbWTXe5AqNxPzjNahLzA_xQLmQpMpidDA.kn7_C6o15p_fUKXip9K8ss77UKmGX8yAPkvv_EuTCPc&dib_tag=se&keywords=cable%2Bsleeves&qid=1762801656&sprefix=cable%2Bsleeves%2Caps%2C136&sr=8-5&th=1,1
B07ZKK6T8S,Rotary Potentiometer,https://www.amazon.ca/Swpeet-Potentiometer-Assortment-Multiturn-HighPrecision/dp/B07ZKK6T8S/ref=sr_1_10?crid=23FL7050VPRVM&dib=eyJ2IjoiMSJ9.KlDL07A4jMGeeFJIOz4Sd6se-NpONWHNb1dLmd5d5EAvu4wXEByVce5Db3PL8zp692IEKtRJ88hsvociiia-eleoy74lpERzSNbVMPzFJqmP0nx0KhmEhCkMYqo0BqWwf-N7QuHcDqPHu6wwCaBoHoOLYLU73gaG66D8Rq48l7f1Pm0ltnCN9M9Zpjo-HUjM8j_PegnjvJIELtEo7XjXgM3MR7B6Udz65WeFYW3iA1yII9XVBTjpVbr-x2RSuwSuZAIdEZPNpuiBUjIPMITQgcxtcnF-wgCRhjiNvDPk5Yc.nDFk-9MiH5kQxIvI_jF_qdYW_fQq7T09rxWWu30QgnQ&dib_tag=se&keywords=rotary%2Bpotentiometer&qid=1762801026&sprefix=rotary%2Bpote%2Caps%2C119&sr=8-10&th=1,1
B0BM4F65SL,3D Printer PLA Filament ,https://www.amazon.ca/ELEGOO-Filament-Dimensional-Accuracy-Compatible/dp/B0BM4F65SL/ref=sr_1_6?crid=1XUT65T0F9BQ0&dib=eyJ2IjoiMSJ9.ohBq0QlIyCYu-UsZUbcyjQYbBB6ojWil1c1gcgVxefBZC1-HuItodsTis4VYCyZ9E5_Bw4hL7-q37VWNEialiGLqwx1cHWmbYVsnA87FFezxOptGXKo1perJL3RGqjoTNYGqzBKKgK-QZ9B8fit3iYZQbgsG4riByMhGNAcHhp36k-Ll4105QDb6xLna1rKGEmDRmkIy425-6_Oyc-nKDQ1S_dIlJOmXBeuOHsBgthtjnb9qTvzICzNHx1rPVBtX3Sz9HhWqr2bzlTBbYUY5OBtVMTnJrLljYjX2TDkNVVU.baZYeSme2XfX_wOPNzMm5WobjeZCJhi3hJADIsotCdA&dib_tag=se&keywords=3d%2Bprinter%2Bfilament&qid=1762801925&sprefix=3d%2Bprinter%2Bfilamen%2Caps%2C129&sr=8-6&th=1,1
B0BNNN9RL2,NEMA 17 Motor Bracket,https://www.amazon.ca/ChgImposs-Bracket-Universal-Multifunction-Mounting/dp/B0BNNN9RL2/ref=sr_1_5?crid=2MDGKJHAHBSAG&dib=eyJ2IjoiMSJ9.28HUEJo8RnZx3mFQOJ322M58tDxZ9h8Bpd43Ynama-aOiDHjZrvYu5BeU60pxgv3iHIfwQXcACIGJMReXhjVVpYH3FgxaRyQezcsNCALNcLgD3uZQmjj11g3UFNGACJUNuwIhc5xBb9y8nSpJo8fX5jDVquBqDA3obEzIx_D7QwIWXGBojs_vbi3OiPRsXNwT3Lpo0Idhy7sdT0aQ_7VH0XmFzZGABlr-xTJuEIn1YUKgzC03_VaSKtoYCOV7fHxaBqQqPR2ps7xm2TPWqxuamwOMqxNUF7iNfVsv0BQpvU.4sAjVNdxcyTB9V3Zkq_DtJRbH3cf6ij7cdcrwAaW-AU&dib_tag=se&keywords=motor+mount+bracket&qid=1762800861&sprefix=motor+mount+bracke%2Caps%2C135&sr=8-5,1
EG1903-ND,SWITCH SLIDE SPDT 200MA 30V,https://www.digikey.ca/en/products/detail/e-switch/EG1218/101726,2
LAUNCHXL-F28379D,LAUNCHPAD TMS320F2837XD/2837XS,https://www.digikey.ca/en/products/detail/texas-instruments/LAUNCHXL-F28379D/7219341?s=N4IgTCBcDaIDYEMCuA7AxgCwB5wLQDMwAOAZgHYBOAExAF0BfIA,1
QBL4208-61-04-013-1k,Brushless (BLDC) DC Motor Standard 4000 RPM Incremental 24VDC,https://www.digikey.ca/en/products/detail/analog-devices-inc-maxim-integrated/QBL4208-61-04-013-1K/9950761,1
QBL4208-61-04-013,Brushless (BLDC) DC Motor Standard 4000 RPM 52.4W 24VDC,https://www.digikey.ca/en/products/detail/analog-devices-inc-maxim-integrated/QBL4208-61-04-013/4843438,1
Raspberry Pi 5/4 GB,Raspberry Pi 5/4 GB,https://www.pishop.ca/product/raspberry-pi-5-4gb/,1
Raspberry Pi 5 Power Supply,Raspberry Pi 27W USB-C Power Supply Black US,https://www.pishop.ca/product/raspberry-pi-27w-usb-c-power-supply-black-us/,1
TMCM-1640,Brushless 24VDC Supply 5A 12 ~ 28.5V Load,https://www.digikey.ca/en/products/detail/analog-devices-inc-maxim-integrated/TMCM-1640/4399639,1
TMCM-1640-CABLE,CABLE LOOM FOR TMCM-1640,https://www.digikey.ca/en/products/detail/analog-devices-inc-maxim-integrated/TMCM-1640-CABLE/4399640,2
